job_id,source_id,estado_csv,idea_central,platform,language,brief_created,script_generated,audio_generated,subtitles_generated,visual_manifest_generated,export_ready,last_step,updated_at
000001,1,pending,trabajar duro no genera riqueza por sí solo,tiktok,es,True,False,False,False,False,False,"error: No se pudo conectar con Ollama: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión""))",2026-03-28T17:24:38+00:00
000002,2,pending,el error invisible que vacía tu cuenta,reels,es,True,False,False,False,False,False,"error: No se pudo conectar con Ollama: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión""))",2026-03-28T17:24:38+00:00
000003,3,pending,la diferencia real no es el ingreso sino la mentalidad,shorts,es,True,False,False,False,False,False,"error: No se pudo conectar con Ollama: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión""))",2026-03-28T17:24:38+00:00
000004,4,pending,3 formas reales de generar ingresos hoy,tiktok,es,True,False,False,False,False,False,"error: No se pudo conectar con Ollama: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión""))",2026-03-28T17:24:38+00:00
000005,5,pending,"la deuda no es el problema, es tu sistema",reels,es,True,False,False,False,False,False,"error: No se pudo conectar con Ollama: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión""))",2026-03-28T17:24:38+00:00
000006,6,pending,"no es guardar, es automatizar",shorts,es,True,False,False,False,False,False,"error: No se pudo conectar con Ollama: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión""))",2026-03-28T17:24:38+00:00
000007,7,pending,tu dinero refleja tu mente,tiktok,es,True,False,False,False,False,False,"error: No se pudo conectar con Ollama: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión""))",2026-03-28T17:24:38+00:00
000008,8,pending,3 errores que debes evitar,reels,es,True,False,False,False,False,False,"error: No se pudo conectar con Ollama: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión""))",2026-03-28T17:24:38+00:00
000009,9,pending,la libertad es una decisión,shorts,es,True,False,False,False,False,False,"error: No se pudo conectar con Ollama: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión""))",2026-03-28T17:24:38+00:00
000010,10,pending,puedes empezar con poco,tiktok,es,True,False,False,False,False,False,"error: No se pudo conectar con Ollama: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión""))",2026-03-28T17:24:38+00:00
